Country Code,Country,HDI,Total Cases,Total Deaths,Stringency Index,Population,GDP Before Covid,GDP During Covid
USA,United States,0.9240000000000003,746014098.0,26477574.0,3.3509486690850343,19.61763693,65279.53,63543.58
BRA,Brazil,0.7590000000000001,425704517.0,14340567.0,3.136027957462585,19.17473208,8897.49,6796.84
IND,India,0.64,407771615.0,7247327.0,3.6105521148129256,21.04535251,2100.75,1900.71
RUS,Russia,0.816,132888951.0,2131571.0,3.380088191482993,18.79866817,11497.65,10126.72
PER,Peru,0.5994897959183674,74882695.0,3020038.0,3.4301264381156464,17.3111646,7027.61,6126.87
MEX,Mexico,0.774,74347548.0,7295850.0,3.0192894045204084,18.67480153,9946.03,8346.7
ESP,Spain,0.887969387755102,73717676.0,5510624.0,3.393922273142857,17.66042712,29564.74,27057.16
ZAF,South Africa,0.6086530612244898,63027659.0,1357682.0,3.3643329908979593,17.8982664,6001.4,5090.72
COL,Colombia,0.5818469387755102,60543682.0,1936134.0,3.3579230454251703,17.74503716,6424.98,5332.77
GBR,United Kingdom,0.9219999999999999,59475032.0,7249573.0,3.3538831399625852,18.03334044,42354.41,40284.64
